designing,d e s i g n i n g,"Input: designing Answer: d e s i g n i n g
"
client,c l i e n t,"Input: client Answer: c l i e n t
"
striker,s t r i k e r,"Input: striker Answer: s t r i k e r
"
embassy,e m b a s s y,"Input: embassy Answer: e m b a s s y
"
plaque,p l a q u e,"Input: plaque Answer: p l a q u e
"
knife,k n i f e,"Input: knife Answer: k n i f e
"
consultant,c o n s u l t a n t,"Input: consultant Answer: c o n s u l t a n t
"
pyramid,p y r a m i d,"Input: pyramid Answer: p y r a m i d
"
continuation,c o n t i n u a t i o n,"Input: continuation Answer: c o n t i n u a t i o n
"
corn,c o r n,"Input: corn Answer: c o r n
"
thirteenth,t h i r t e e n t h,"Input: thirteenth Answer: t h i r t e e n t h
"
rope,r o p e,"Input: rope Answer: r o p e
"
monsoon,m o n s o o n,"Input: monsoon Answer: m o n s o o n
"
barrel,b a r r e l,"Input: barrel Answer: b a r r e l
"
gravel,g r a v e l,"Input: gravel Answer: g r a v e l
"
fuselage,f u s e l a g e,"Input: fuselage Answer: f u s e l a g e
"
membrane,m e m b r a n e,"Input: membrane Answer: m e m b r a n e
"
merchandise,m e r c h a n d i s e,"Input: merchandise Answer: m e r c h a n d i s e
"
cure,c u r e,"Input: cure Answer: c u r e
"
mentor,m e n t o r,"Input: mentor Answer: m e n t o r
"
dancer,d a n c e r,"Input: dancer Answer: d a n c e r
"
intercept,i n t e r c e p t,"Input: intercept Answer: i n t e r c e p t
"
detection,d e t e c t i o n,"Input: detection Answer: d e t e c t i o n
"
spy,s p y,"Input: spy Answer: s p y
"
abbey,a b b e y,"Input: abbey Answer: a b b e y
"
hyphae,h y p h a e,"Input: hyphae Answer: h y p h a e
"
curriculum,c u r r i c u l u m,"Input: curriculum Answer: c u r r i c u l u m
"
contingent,c o n t i n g e n t,"Input: contingent Answer: c o n t i n g e n t
"
motif,m o t i f,"Input: motif Answer: m o t i f
"
reservoir,r e s e r v o i r,"Input: reservoir Answer: r e s e r v o i r
"
concurrency,c o n c u r r e n c y,"Input: concurrency Answer: c o n c u r r e n c y
"
battlecruiser,b a t t l e c r u i s e r,"Input: battlecruiser Answer: b a t t l e c r u i s e r
"
bankruptcy,b a n k r u p t c y,"Input: bankruptcy Answer: b a n k r u p t c y
"
goaltender,g o a l t e n d e r,"Input: goaltender Answer: g o a l t e n d e r
"
guilt,g u i l t,"Input: guilt Answer: g u i l t
"
tobacco,t o b a c c o,"Input: tobacco Answer: t o b a c c o
"
punt,p u n t,"Input: punt Answer: p u n t
"
halfway,h a l f w a y,"Input: halfway Answer: h a l f w a y
"
fitness,f i t n e s s,"Input: fitness Answer: f i t n e s s
"
decoration,d e c o r a t i o n,"Input: decoration Answer: d e c o r a t i o n
"
consumer,c o n s u m e r,"Input: consumer Answer: c o n s u m e r
"
intensification,i n t e n s i f i c a t i o n,"Input: intensification Answer: i n t e n s i f i c a t i o n
"
storey,s t o r e y,"Input: storey Answer: s t o r e y
"
gambling,g a m b l i n g,"Input: gambling Answer: g a m b l i n g
"
ankle,a n k l e,"Input: ankle Answer: a n k l e
"
vinyl,v i n y l,"Input: vinyl Answer: v i n y l
"
profession,p r o f e s s i o n,"Input: profession Answer: p r o f e s s i o n
"
submission,s u b m i s s i o n,"Input: submission Answer: s u b m i s s i o n
"
visibility,v i s i b i l i t y,"Input: visibility Answer: v i s i b i l i t y
"
cease,c e a s e,"Input: cease Answer: c e a s e
"
mobility,m o b i l i t y,"Input: mobility Answer: m o b i l i t y
"
propulsion,p r o p u l s i o n,"Input: propulsion Answer: p r o p u l s i o n
"
furniture,f u r n i t u r e,"Input: furniture Answer: f u r n i t u r e
"
melting,m e l t i n g,"Input: melting Answer: m e l t i n g
"
inspection,i n s p e c t i o n,"Input: inspection Answer: i n s p e c t i o n
"
luxury,l u x u r y,"Input: luxury Answer: l u x u r y
"
sprint,s p r i n t,"Input: sprint Answer: s p r i n t
"
predator,p r e d a t o r,"Input: predator Answer: p r e d a t o r
"
interact,i n t e r a c t,"Input: interact Answer: i n t e r a c t
"
fog,f o g,"Input: fog Answer: f o g
"
superhero,s u p e r h e r o,"Input: superhero Answer: s u p e r h e r o
"
relegation,r e l e g a t i o n,"Input: relegation Answer: r e l e g a t i o n
"
sink,s i n k,"Input: sink Answer: s i n k
"
shrine,s h r i n e,"Input: shrine Answer: s h r i n e
"
precursor,p r e c u r s o r,"Input: precursor Answer: p r e c u r s o r
"
ecology,e c o l o g y,"Input: ecology Answer: e c o l o g y
"
convey,c o n v e y,"Input: convey Answer: c o n v e y
"
plug,p l u g,"Input: plug Answer: p l u g
"
liberty,l i b e r t y,"Input: liberty Answer: l i b e r t y
"
replica,r e p l i c a,"Input: replica Answer: r e p l i c a
"
gale,g a l e,"Input: gale Answer: g a l e
"
visitor,v i s i t o r,"Input: visitor Answer: v i s i t o r
"
ministry,m i n i s t r y,"Input: ministry Answer: m i n i s t r y
"
pipe,p i p e,"Input: pipe Answer: p i p e
"
counsel,c o u n s e l,"Input: counsel Answer: c o u n s e l
"
latitude,l a t i t u d e,"Input: latitude Answer: l a t i t u d e
"
reproduction,r e p r o d u c t i o n,"Input: reproduction Answer: r e p r o d u c t i o n
"
marching,m a r c h i n g,"Input: marching Answer: m a r c h i n g
"
unemployment,u n e m p l o y m e n t,"Input: unemployment Answer: u n e m p l o y m e n t
"
duck,d u c k,"Input: duck Answer: d u c k
"
farmer,f a r m e r,"Input: farmer Answer: f a r m e r
"
recreation,r e c r e a t i o n,"Input: recreation Answer: r e c r e a t i o n
"
gunfire,g u n f i r e,"Input: gunfire Answer: g u n f i r e
"
accent,a c c e n t,"Input: accent Answer: a c c e n t
"
cage,c a g e,"Input: cage Answer: c a g e
"
maneuver,m a n e u v e r,"Input: maneuver Answer: m a n e u v e r
"
utility,u t i l i t y,"Input: utility Answer: u t i l i t y
"
moisture,m o i s t u r e,"Input: moisture Answer: m o i s t u r e
"
bread,b r e a d,"Input: bread Answer: b r e a d
"
harmony,h a r m o n y,"Input: harmony Answer: h a r m o n y
"
carriage,c a r r i a g e,"Input: carriage Answer: c a r r i a g e
"
morality,m o r a l i t y,"Input: morality Answer: m o r a l i t y
"
amidships,a m i d s h i p s,"Input: amidships Answer: a m i d s h i p s
"
academy,a c a d e m y,"Input: academy Answer: a c a d e m y
"
reunion,r e u n i o n,"Input: reunion Answer: r e u n i o n
"
appreciation,a p p r e c i a t i o n,"Input: appreciation Answer: a p p r e c i a t i o n
"
counterattack,c o u n t e r a t t a c k,"Input: counterattack Answer: c o u n t e r a t t a c k
"
ideology,i d e o l o g y,"Input: ideology Answer: i d e o l o g y
"
downstream,d o w n s t r e a m,"Input: downstream Answer: d o w n s t r e a m
"
censorship,c e n s o r s h i p,"Input: censorship Answer: c e n s o r s h i p
"
isotope,i s o t o p e,"Input: isotope Answer: i s o t o p e
"
outflow,o u t f l o w,"Input: outflow Answer: o u t f l o w
"
turnpike,t u r n p i k e,"Input: turnpike Answer: t u r n p i k e
"
prosperity,p r o s p e r i t y,"Input: prosperity Answer: p r o s p e r i t y
"
suspicion,s u s p i c i o n,"Input: suspicion Answer: s u s p i c i o n
"
suite,s u i t e,"Input: suite Answer: s u i t e
"
poison,p o i s o n,"Input: poison Answer: p o i s o n
"
courtyard,c o u r t y a r d,"Input: courtyard Answer: c o u r t y a r d
"
gravitational,g r a v i t a t i o n a l,"Input: gravitational Answer: g r a v i t a t i o n a l
"
coinage,c o i n a g e,"Input: coinage Answer: c o i n a g e
"
indication,i n d i c a t i o n,"Input: indication Answer: i n d i c a t i o n
"
escorting,e s c o r t i n g,"Input: escorting Answer: e s c o r t i n g
"
dinosaur,d i n o s a u r,"Input: dinosaur Answer: d i n o s a u r
"
resource,r e s o u r c e,"Input: resource Answer: r e s o u r c e
"
equality,e q u a l i t y,"Input: equality Answer: e q u a l i t y
"
abortion,a b o r t i o n,"Input: abortion Answer: a b o r t i o n
"
raiding,r a i d i n g,"Input: raiding Answer: r a i d i n g
"
retrieve,r e t r i e v e,"Input: retrieve Answer: r e t r i e v e
"
constellation,c o n s t e l l a t i o n,"Input: constellation Answer: c o n s t e l l a t i o n
"
snake,s n a k e,"Input: snake Answer: s n a k e
"
supervisor,s u p e r v i s o r,"Input: supervisor Answer: s u p e r v i s o r
"
airplay,a i r p l a y,"Input: airplay Answer: a i r p l a y
"
granite,g r a n i t e,"Input: granite Answer: g r a n i t e
"
superiority,s u p e r i o r i t y,"Input: superiority Answer: s u p e r i o r i t y
"
icon,i c o n,"Input: icon Answer: i c o n
"
menu,m e n u,"Input: menu Answer: m e n u
"
alpha,a l p h a,"Input: alpha Answer: a l p h a
"
persecution,p e r s e c u t i o n,"Input: persecution Answer: p e r s e c u t i o n
"
wolf,w o l f,"Input: wolf Answer: w o l f
"
occurrence,o c c u r r e n c e,"Input: occurrence Answer: o c c u r r e n c e
"
swim,s w i m,"Input: swim Answer: s w i m
"
slide,s l i d e,"Input: slide Answer: s l i d e
"
upstream,u p s t r e a m,"Input: upstream Answer: u p s t r e a m
"
cockpit,c o c k p i t,"Input: cockpit Answer: c o c k p i t
"
elephant,e l e p h a n t,"Input: elephant Answer: e l e p h a n t
"
novelist,n o v e l i s t,"Input: novelist Answer: n o v e l i s t
"
accession,a c c e s s i o n,"Input: accession Answer: a c c e s s i o n
"
verdict,v e r d i c t,"Input: verdict Answer: v e r d i c t
"
integrity,i n t e g r i t y,"Input: integrity Answer: i n t e g r i t y
"
wage,w a g e,"Input: wage Answer: w a g e
"
bottle,b o t t l e,"Input: bottle Answer: b o t t l e
"
backdrop,b a c k d r o p,"Input: backdrop Answer: b a c k d r o p
"
dissolution,d i s s o l u t i o n,"Input: dissolution Answer: d i s s o l u t i o n
"
fiscal,f i s c a l,"Input: fiscal Answer: f i s c a l
"
jacket,j a c k e t,"Input: jacket Answer: j a c k e t
"
pianist,p i a n i s t,"Input: pianist Answer: p i a n i s t
"
ambush,a m b u s h,"Input: ambush Answer: a m b u s h
"
blog,b l o g,"Input: blog Answer: b l o g
"
bag,b a g,"Input: bag Answer: b a g
"
sweep,s w e e p,"Input: sweep Answer: s w e e p
"
puzzle,p u z z l e,"Input: puzzle Answer: p u z z l e
"
emergence,e m e r g e n c e,"Input: emergence Answer: e m e r g e n c e
"
foul,f o u l,"Input: foul Answer: f o u l
"
anthology,a n t h o l o g y,"Input: anthology Answer: a n t h o l o g y
"
update,u p d a t e,"Input: update Answer: u p d a t e
"
potassium,p o t a s s i u m,"Input: potassium Answer: p o t a s s i u m
"
innovation,i n n o v a t i o n,"Input: innovation Answer: i n n o v a t i o n
"
fairy,f a i r y,"Input: fairy Answer: f a i r y
"
nobody,n o b o d y,"Input: nobody Answer: n o b o d y
"
plasma,p l a s m a,"Input: plasma Answer: p l a s m a
"
coral,c o r a l,"Input: coral Answer: c o r a l
"
trunkline,t r u n k l i n e,"Input: trunkline Answer: t r u n k l i n e
"
interception,i n t e r c e p t i o n,"Input: interception Answer: i n t e r c e p t i o n
"
camouflage,c a m o u f l a g e,"Input: camouflage Answer: c a m o u f l a g e
"
affiliate,a f f i l i a t e,"Input: affiliate Answer: a f f i l i a t e
"
cooling,c o o l i n g,"Input: cooling Answer: c o o l i n g
"
spokesman,s p o k e s m a n,"Input: spokesman Answer: s p o k e s m a n
"
gunnery,g u n n e r y,"Input: gunnery Answer: g u n n e r y
"
treasure,t r e a s u r e,"Input: treasure Answer: t r e a s u r e
"
spider,s p i d e r,"Input: spider Answer: s p i d e r
"
defendant,d e f e n d a n t,"Input: defendant Answer: d e f e n d a n t
"
postseason,p o s t s e a s o n,"Input: postseason Answer: p o s t s e a s o n
"
enhance,e n h a n c e,"Input: enhance Answer: e n h a n c e
"
autonomy,a u t o n o m y,"Input: autonomy Answer: a u t o n o m y
"
spiral,s p i r a l,"Input: spiral Answer: s p i r a l
"
disposal,d i s p o s a l,"Input: disposal Answer: d i s p o s a l
"
certification,c e r t i f i c a t i o n,"Input: certification Answer: c e r t i f i c a t i o n
"
funnel,f u n n e l,"Input: funnel Answer: f u n n e l
"
fleeing,f l e e i n g,"Input: fleeing Answer: f l e e i n g
"
pose,p o s e,"Input: pose Answer: p o s e
"
commissioner,c o m m i s s i o n e r,"Input: commissioner Answer: c o m m i s s i o n e r
"
ditch,d i t c h,"Input: ditch Answer: d i t c h
"
texture,t e x t u r e,"Input: texture Answer: t e x t u r e
"
virtue,v i r t u e,"Input: virtue Answer: v i r t u e
"
treason,t r e a s o n,"Input: treason Answer: t r e a s o n
"
grace,g r a c e,"Input: grace Answer: g r a c e
"
inflation,i n f l a t i o n,"Input: inflation Answer: i n f l a t i o n
"
contributor,c o n t r i b u t o r,"Input: contributor Answer: c o n t r i b u t o r
"
oxidation,o x i d a t i o n,"Input: oxidation Answer: o x i d a t i o n
"
targeting,t a r g e t i n g,"Input: targeting Answer: t a r g e t i n g
"
pet,p e t,"Input: pet Answer: p e t
"
hunter,h u n t e r,"Input: hunter Answer: h u n t e r
"
drought,d r o u g h t,"Input: drought Answer: d r o u g h t
"
midst,m i d s t,"Input: midst Answer: m i d s t
"
conscience,c o n s c i e n c e,"Input: conscience Answer: c o n s c i e n c e
"
theology,t h e o l o g y,"Input: theology Answer: t h e o l o g y
"
backwards,b a c k w a r d s,"Input: backwards Answer: b a c k w a r d s
"
trunk,t r u n k,"Input: trunk Answer: t r u n k
"
anticipation,a n t i c i p a t i o n,"Input: anticipation Answer: a n t i c i p a t i o n
"
sodium,s o d i u m,"Input: sodium Answer: s o d i u m
"
ambition,a m b i t i o n,"Input: ambition Answer: a m b i t i o n
"
correspondent,c o r r e s p o n d e n t,"Input: correspondent Answer: c o r r e s p o n d e n t
"
customer,c u s t o m e r,"Input: customer Answer: c u s t o m e r
"
mercury,m e r c u r y,"Input: mercury Answer: m e r c u r y
"
aggression,a g g r e s s i o n,"Input: aggression Answer: a g g r e s s i o n
"
columnist,c o l u m n i s t,"Input: columnist Answer: c o l u m n i s t
"
advisor,a d v i s o r,"Input: advisor Answer: a d v i s o r
"
sponsor,s p o n s o r,"Input: sponsor Answer: s p o n s o r
"
conception,c o n c e p t i o n,"Input: conception Answer: c o n c e p t i o n
"
continuity,c o n t i n u i t y,"Input: continuity Answer: c o n t i n u i t y
"
plantation,p l a n t a t i o n,"Input: plantation Answer: p l a n t a t i o n
"
habit,h a b i t,"Input: habit Answer: h a b i t
"
tributary,t r i b u t a r y,"Input: tributary Answer: t r i b u t a r y
"
outline,o u t l i n e,"Input: outline Answer: o u t l i n e
"
numbering,n u m b e r i n g,"Input: numbering Answer: n u m b e r i n g
"
staging,s t a g i n g,"Input: staging Answer: s t a g i n g
"
surgeon,s u r g e o n,"Input: surgeon Answer: s u r g e o n
"
keeper,k e e p e r,"Input: keeper Answer: k e e p e r
"
agenda,a g e n d a,"Input: agenda Answer: a g e n d a
"
devotion,d e v o t i o n,"Input: devotion Answer: d e v o t i o n
"
pin,p i n,"Input: pin Answer: p i n
"
ladder,l a d d e r,"Input: ladder Answer: l a d d e r
"
sophomore,s o p h o m o r e,"Input: sophomore Answer: s o p h o m o r e
"
comfort,c o m f o r t,"Input: comfort Answer: c o m f o r t
"
modification,m o d i f i c a t i o n,"Input: modification Answer: m o d i f i c a t i o n
"
rehearsal,r e h e a r s a l,"Input: rehearsal Answer: r e h e a r s a l
"
facto,f a c t o,"Input: facto Answer: f a c t o
"
archipelago,a r c h i p e l a g o,"Input: archipelago Answer: a r c h i p e l a g o
"
psychology,p s y c h o l o g y,"Input: psychology Answer: p s y c h o l o g y
"
redevelopment,r e d e v e l o p m e n t,"Input: redevelopment Answer: r e d e v e l o p m e n t
"
somebody,s o m e b o d y,"Input: somebody Answer: s o m e b o d y
"
supplement,s u p p l e m e n t,"Input: supplement Answer: s u p p l e m e n t
"
bicycle,b i c y c l e,"Input: bicycle Answer: b i c y c l e
"
homosexuality,h o m o s e x u a l i t y,"Input: homosexuality Answer: h o m o s e x u a l i t y
"
sympathy,s y m p a t h y,"Input: sympathy Answer: s y m p a t h y
"
disagreement,d i s a g r e e m e n t,"Input: disagreement Answer: d i s a g r e e m e n t
"
fixture,f i x t u r e,"Input: fixture Answer: f i x t u r e
"
corpse,c o r p s e,"Input: corpse Answer: c o r p s e
"
bullet,b u l l e t,"Input: bullet Answer: b u l l e t
"
blew,b l e w,"Input: blew Answer: b l e w
"
lighthouse,l i g h t h o u s e,"Input: lighthouse Answer: l i g h t h o u s e
"
joy,j o y,"Input: joy Answer: j o y
"
hitter,h i t t e r,"Input: hitter Answer: h i t t e r
"
allegiance,a l l e g i a n c e,"Input: allegiance Answer: a l l e g i a n c e
"
wheat,w h e a t,"Input: wheat Answer: w h e a t
"
rehabilitation,r e h a b i l i t a t i o n,"Input: rehabilitation Answer: r e h a b i l i t a t i o n
"
demise,d e m i s e,"Input: demise Answer: d e m i s e
"
phenomena,p h e n o m e n a,"Input: phenomena Answer: p h e n o m e n a
"
slip,s l i p,"Input: slip Answer: s l i p
"
decree,d e c r e e,"Input: decree Answer: d e c r e e
"
inheritance,i n h e r i t a n c e,"Input: inheritance Answer: i n h e r i t a n c e
"
employer,e m p l o y e r,"Input: employer Answer: e m p l o y e r
"
twist,t w i s t,"Input: twist Answer: t w i s t
"
cope,c o p e,"Input: cope Answer: c o p e
"
repertoire,r e p e r t o i r e,"Input: repertoire Answer: r e p e r t o i r e
"
spectral,s p e c t r a l,"Input: spectral Answer: s p e c t r a l
"
surveillance,s u r v e i l l a n c e,"Input: surveillance Answer: s u r v e i l l a n c e
"
folklore,f o l k l o r e,"Input: folklore Answer: f o l k l o r e
"
compensate,c o m p e n s a t e,"Input: compensate Answer: c o m p e n s a t e
"
athletics,a t h l e t i c s,"Input: athletics Answer: a t h l e t i c s
"
equation,e q u a t i o n,"Input: equation Answer: e q u a t i o n
"
pen,p e n,"Input: pen Answer: p e n
"
thesis,t h e s i s,"Input: thesis Answer: t h e s i s
"
welding,w e l d i n g,"Input: welding Answer: w e l d i n g
"
distress,d i s t r e s s,"Input: distress Answer: d i s t r e s s
"
exploit,e x p l o i t,"Input: exploit Answer: e x p l o i t
"
racism,r a c i s m,"Input: racism Answer: r a c i s m
"
dialect,d i a l e c t,"Input: dialect Answer: d i a l e c t
"
anxiety,a n x i e t y,"Input: anxiety Answer: a n x i e t y
"
lab,l a b,"Input: lab Answer: l a b
"
sculptor,s c u l p t o r,"Input: sculptor Answer: s c u l p t o r
"
confirmation,c o n f i r m a t i o n,"Input: confirmation Answer: c o n f i r m a t i o n
"
